pos,word,count
CD,21st,1
CD,100,1
CD,two,7
CD,99,1
CD,2017,1
CD,million,4
CD,one,10
CD,2,1
CD,15,1
CD,three,1
CD,500,1
CD,"2,400",1
CD,five,1
CD,75,1
CD,billion,4
CD,"4,000",1
DT,every,8
DT,another,1
IN,within,2
IN,beyond,2
IN,since,5
IN,behind,1
IN,across,13
IN,among,2
IN,upon,1
IN,without,4
IN,around,18
IN,like,19
IN,although,2
IN,whether,8
JJ,limited,1
JJ,nepal,1
JJ,global,24
JJ,controversial,1
JJ,critical,1
JJ,little,3
JJ,entire,1
JJ,thoughtful,1
JJ,large,4
JJ,small,1
JJ,spiritual,2
JJ,direct,2
JJ,likely,2
JJ,eligible,1
JJ,current,2
JJ,strong,2
JJ,healthy,2
JJ,social,31
JJ,military,1
JJ,moral,1
JJ,operational,1
JJ,positive,7
JJ,live,2
JJ,aware,1
JJ,actual,1
JJ,graphic,2
JJ,united,2
JJ,natural,2
JJ,effective,1
JJ,institutional,1
JJ,personal,10
JJ,civil,1
JJ,feasible,1
JJ,affected,1
JJ,safe,12
JJ,terrible,1
JJ,european,1
JJ,related,5
JJ,open,1
JJ,bad,3
JJ,unrelated,1
JJ,free,2
JJ,unwanted,1
JJ,wrong,1
JJ,american,1
JJ,existential,1
JJ,major,2
JJ,third,1
JJ,powerful,1
JJ,impossible,1
JJ,recent,1
JJ,last,3
JJ,objectionable,5
JJ,historical,2
JJ,able,3
JJ,high,1
JJ,civically-engaged,3
JJ,democratic,3
JJ,clear,3
JJ,traditional,2
JJ,black,2
JJ,local,13
JJ,overall,2
JJ,new,16
JJ,'can,2
JJ,common,10
JJ,sustainable,1
JJ,large-scale,1
JJ,national,2
JJ,individual,1
JJ,artificial,2
JJ,many,22
JJ,quiet,1
JJ,whole,2
JJ,active,1
JJ,second,2
JJ,much,2
JJ,basic,1
JJ,enable,2
JJ,worried,1
JJ,good,4
JJ,foreign,1
JJ,different,8
JJ,sensitive,1
JJ,difficult,1
JJ,malicious,1
JJ,nuanced,1
JJ,great,1
JJ,surprised,1
JJ,real,4
JJ,big,1
JJ,possible,4
JJ,cultural,7
JJ,sensational,3
JJ,necessary,2
JJ,obvious,1
JJ,economic,1
JJ,complete,2
JJ,fourth,1
JJ,non-profit,1
JJ,important,19
JJ,ideological,2
JJ,political,4
JJ,next,3
JJ,intrinsic,1
JJ,low,1
JJ,unsettled,1
JJ,newsworthy,2
JJ,emotional,2
JJ,similar,2
JJ,inclusive,3
JJ,general,1
JJ,single,3
JJ,daily,2
JJ,physical,6
JJ,offensive,1
JJ,successful,1
JJ,additional,1
JJR,smaller,2
JJR,larger,2
JJR,easier,2
JJR,greater,4
JJR,bigger,2
JJS,worst,1
JJS,greatest,8
JJS,least,2
JJS,largest,6
JJS,best,4
MD,must,13
MD,may,8
MD,could,6
MD,'d,1
MD,wo,1
MD,ca,1
MD,would,5
MD,might,4
MD,'ll,1
NN,modi,1
NN,focus,4
NN,mark,1
NN,hate,2
NN,content,23
NN,suicide,1
NN,number,3
NN,system,7
NN,religion,1
NN,tv,4
NN,parliament,1
NN,encourage,2
NN,environment,1
NN,terror,2
NN,health,3
NN,woman,1
NN,facebook,24
NN,decide,1
NN,govern,1
NN,resonant,1
NN,affect,2
NN,vast,2
NN,school,1
NN,percent,1
NN,level,1
NN,misinformation,4
NN,correct,1
NN,item,1
NN,relief,1
NN,team,4
NN,prevent,3
NN,force,1
NN,trend,1
NN,refugee,2
NN,consistent,1
NN,pulse,1
NN,sign,3
NN,past,7
NN,video,3
NN,perspective,1
NN,pass,1
NN,click,1
NN,saw,2
NN,liberty,1
NN,everything,1
NN,public,4
NN,told,3
NN,editorial,1
NN,empower,2
NN,lack,2
NN,met,1
NN,explore,3
NN,voter,1
NN,poverty,1
NN,path,2
NN,earthquake,1
NN,change,2
NN,suggest,1
NN,shift,1
NN,design,1
NN,reason,1
NN,experience,6
NN,amount,1
NN,family,3
NN,spent,1
NN,profanity,1
NN,send,1
NN,crisis,4
NN,market,1
NN,use,5
NN,distinct,1
NN,century,1
NN,governance,5
NN,process,5
NN,doubt,1
NN,call,2
NN,outright,1
NN,tell,2
NN,today,10
NN,accuracy,3
NN,company,1
NN,end-to-end,1
NN,berlin,1
NN,surface,1
NN,hold,2
NN,effort,2
NN,join,1
NN,science,1
NN,work,11
NN,worth,1
NN,suggestive,1
NN,hope,9
NN,meet,2
NN,epidermolysis,1
NN,example,8
NN,history,4
NN,control,2
NN,fragment,1
NN,share,20
